wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info,address,date,location
"211,39","25,9","29,5","14,7","18,4",2020-10-10,,"30,3","23,2","22,6",1602288000000,0,,,,"1014,4",,"15,7","54,32",0,"27,7",Clear,,,"36.138802,33.267837",2020-10-10,yenikas
"214,48","24,1","27,5","14,7","14,8",2020-10-11,,"28,5","28,1","20,4",1602374400000,0,,,,"1014,8",,"16,4","62,23",0,,Partially cloudy,,,"36.138802,33.267837",2020-10-11,yenikas
"193,22","24,4",28,"14,9","14,8",2020-10-12,,"29,6","32,8","20,6",1602460800000,0,,,,"1014,7",,"17,1","64,13",0,13,Partially cloudy,,,"36.138802,33.267837",2020-10-12,yenikas
"203,67","24,3","28,1","14,7","15,5",2020-10-13,,"28,9","49,5","21,2",1602547200000,0,,,,"1014,3",,"16,4","61,46",0,"9,4",Partially cloudy,,,"36.138802,33.267837",2020-10-13,yenikas
"197,09","24,4","28,9","14,7","24,5",2020-10-14,,30,"4,7","21,2",1602633600000,0,,,,"1016,1",,"15,1","56,64",0,,Clear,,,"36.138802,33.267837",2020-10-14,yenikas
"203,65","24,2","27,8","14,7","20,3",2020-10-15,,29,"6,3","20,9",1602720000000,0,,,,"1016,9",,"15,7","59,53",0,"16,6",Clear,,,"36.138802,33.267837",2020-10-15,yenikas
"193,21","23,8","27,5","14,7","16,9",2020-10-16,,"28,4","15,2","20,5",1602806400000,0,,,,"1015,6",,"15,6","60,1",0,"11,2",Clear,,,"36.138802,33.267837",2020-10-16,yenikas
"177,96","23,9","28,1","14,7","18,4",2020-10-17,,"29,5","7,5","20,7",1602892800000,0,,,,"1015,1",,"16,1","61,98",0,,Clear,,,"36.138802,33.267837",2020-10-17,yenikas
"159,91","23,9","27,3","14,9",13,2020-10-18,,"28,6","24,9","19,2",1602979200000,0,,,,"1015,2",,"14,4","56,79",0,13,Clear,,,"36.138802,33.267837",2020-10-18,yenikas
190,"24,2","28,1",15,"16,2",2020-10-19,,30,32,"20,2",1603065600000,0,,,,"1016,8",,"15,6","59,22",0,"9,4",Partially cloudy,,,"36.138802,33.267837",2020-10-19,yenikas
"210,57","24,9","27,9","15,5","22,1",2020-10-20,,"28,9",42,"21,9",1603152000000,0,,,,"1016,8",,"16,7","60,65",0,,Partially cloudy,,,"36.138802,33.267837",2020-10-20,yenikas
"231,52","24,5","28,3","14,8","18,3",2020-10-21,,"28,2","42,7","21,6",1603238400000,0,,,,"1017,3",,"12,5","47,72",0,"18,4",Partially cloudy,,,"36.138802,33.267837",2020-10-21,yenikas
"196,17","24,3",28,"14,7","16,8",2020-10-22,,"28,6","44,5","21,1",1603324800000,0,,,,"1018,7",,"13,1","49,91",0,13,Partially cloudy,,,"36.138802,33.267837",2020-10-22,yenikas
"169,5","24,5","28,7","14,7","14,8",2020-10-23,,"29,1","28,6","21,3",1603411200000,0,,,,"1016,6",,"13,2","50,03",0,,Partially cloudy,,,"36.138802,33.267837",2020-10-23,yenikas
"191,88","25,7","30,8","15,9","18,4",2020-10-24,,"30,2","47,3","21,4",1603497600000,0,,,,"1013,6",,"11,6","42,15",0,"22,3",Partially cloudy,,,"36.138802,33.267837",2020-10-24,yenikas
"195,52","27,2","31,8","14,7",13,2020-10-25,,"30,9","47,4",24,1603584000000,0,,,,"1012,2",,"9,8","34,84",0,"18,4",Partially cloudy,,,"36.138802,33.267837",2020-10-25,yenikas
"145,32","25,1","28,8","14,9",13,2020-10-26,,"29,5",24,22,1603670400000,0,,,,"1013,3",,10,"39,46",0,,Clear,,,"36.138802,33.267837",2020-10-26,yenikas
"168,6","25,2",29,"14,9","28,2",2020-10-27,,"28,9","27,6","21,4",1603756800000,0,,,,"1012,2",,"10,4","41,37",0,"33,5",Partially cloudy,,,"36.138802,33.267837",2020-10-27,yenikas
"197,05","23,4","27,2","15,5","17,1",2020-10-28,,"28,1","38,4","20,2",1603843200000,0,,,,"1015,5",,"15,7","62,33",0,"11,2",Partially cloudy,,,"36.138802,33.267837",2020-10-28,yenikas
"178,39","22,5","26,6","14,9",17,2020-10-29,,,"5,1","18,8",1603929600000,0,,,,"1016,9",,"12,4","53,38",0,13,Clear,,,"36.138802,33.267837",2020-10-29,yenikas
"186,3","22,6","26,4","14,7","17,8",2020-10-30,,,"31,1","19,4",1604016000000,0,,,,"1016,2",,14,"58,42",0,"20,5",Partially cloudy,,,"36.138802,33.267837",2020-10-30,yenikas
"193,08","22,4","26,6","14,7","20,3",2020-10-31,,,"27,2","18,9",1604102400000,0,,,,"1013,9",,"13,7","58,29",0,13,Partially cloudy,,,"36.138802,33.267837",2020-10-31,yenikas
"218,88","21,8","25,6","14,7","14,9",2020-11-01,,,"24,7","18,6",1604188800000,"0,2",,,,"1014,1",,13,"57,69","4,17",13,Rain,,,"36.138802,33.267837",2020-11-01,yenikas
"203,63","21,9","25,7","14,8","18,4",2020-11-02,,,"24,6","19,3",1604275200000,0,,,,"1016,1",,"13,2","58,13",0,"27,7",Clear,,,"36.138802,33.267837",2020-11-02,yenikas
"126,55","20,8","24,9","14,3","19,9",2020-11-03,,,"55,4","17,9",1604361600000,"15,37",,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Increasing",,"1016,4",,13,"61,14","8,7","7,6","Rain, Partially cloudy",,,"36.138802,33.267837",2020-11-03,yenikas
"184,35","18,3","20,9","13,9","25,9",2020-11-04,,,"73,8","15,7",1604448000000,"45,03",,"Lightning Without Thunder, Thunderstorm, Thunderstorm Without Precipitation, Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",,"1011,2",,"12,3","68,51","16,67","35,3","Rain, Partially cloudy",,,"36.138802,33.267837",2020-11-04,yenikas
"238,38","19,7",23,"15,6","27,7",2020-11-05,,,"31,9","15,4",1604534400000,0,,,,"1009,3",,9,"50,43",0,"38,9",Partially cloudy,,,"36.138802,33.267837",2020-11-05,yenikas
"139,75","21,8","25,4","15,3","14,8",2020-11-06,,,"48,3","16,9",1604620800000,"0,5",,Sky Coverage Increasing,,"1013,4",,"10,3","48,36","4,76","33,5","Rain, Partially cloudy",,,"36.138802,33.267837",2020-11-06,yenikas
"71,95","21,8","24,9","15,5","18,5",2020-11-07,,,"15,1","19,4",1604707200000,0,,,,1017,,"7,3","39,86",0,"44,6",Clear,,,"36.138802,33.267837",2020-11-07,yenikas
"87,78","21,7","24,8","14,8","26,6",2020-11-08,,,"23,3","19,1",1604793600000,"0,2",,"Lightning Without Thunder, Rain Showers, Sky Coverage Increasing",,"1017,6",,"8,5","43,15","4,35","29,5",Rain,,,"36.138802,33.267837",2020-11-08,yenikas
"103,83","21,7","25,7","14,6","29,5",2020-11-09,,,"42,2","17,4",1604880000000,1,,"Lightning Without Thunder, Thunderstorm, Light Rain",,"1017,4",,11,"51,15","4,17","22,3","Rain, Partially cloudy",,,"36.138802,33.267837",2020-11-09,yenikas
"136,17","20,8",26,"14,6",15,2020-11-10,,,"22,9","18,1",1604966400000,10,,"Rain Showers, Sky Coverage Increasing",,"1016,5",,"11,3","55,56","4,17","14,8",Rain,,,"36.138802,33.267837",2020-11-10,yenikas
"166,62","20,6","25,2","14,8",14,2020-11-11,,,"29,9",17,1605052800000,11,,"Rain Showers, Sky Coverage Decreasing, Sky Coverage Increasing",,"1017,4",,"11,7","57,4","8,7","35,3","Rain, Partially cloudy",,,"36.138802,33.267837",2020-11-11,yenikas
"159,58","20,5","24,5","14,7","14,8",2020-11-12,,,"17,1","17,7",1605139200000,0,,,,"1020,3",,"10,8","54,66",0,"29,5",Clear,,,"36.138802,33.267837",2020-11-12,yenikas
"160,79","20,1","23,9","14,6","14,8",2020-11-13,,,"11,1","17,5",1605225600000,0,,,,"1021,6",,"11,1","56,83",0,"24,1",Clear,,,"36.138802,33.267837",2020-11-13,yenikas
