wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info,address,date,location
140.41,29.8,32.7,16.8,16.5,"2021-06-30","",37.5,3.2,27.3,1625011200000,0.0,"","","",1006.8,"",20.4,57.7,0.0,24.1,"Clear","","","36.138802,33.267837","2021-06-30","yenikas"
177.5,30.7,35.1,16.8,16.1,"2021-06-29","",37.4,5.4,27.6,1624924800000,0.0,"","","",1006.5,"",20.2,54.77,0.0,25.9,"Clear","","","36.138802,33.267837","2021-06-29","yenikas"
139.57,28.6,30.9,16.9,16.5,"2021-06-28","",37.8,7.9,25.6,1624838400000,0.0,"","","",1006.9,"",21.8,67.18,0.0,18.4,"Clear","","","36.138802,33.267837","2021-06-28","yenikas"
142.78,28.2,31.1,16.8,16.5,"2021-06-27","",35.5,10.4,25.3,1624752000000,0.0,"","","",1006.0,"",21.9,68.9,0.0,14.8,"Clear","","","36.138802,33.267837","2021-06-27","yenikas"
170.21,27.6,29.8,16.8,13.4,"2021-06-26","",34.3,1.2,24.8,1624665600000,0.0,"","","",1005.8,"",21.7,70.87,0.0,20.5,"Clear","","","36.138802,33.267837","2021-06-26","yenikas"
80,24.9,24.9,17,0.3,2021-06-25,,,21.1,24.9,1624579200000,0,,,,1008.9,,22.5,86.55,0,9.4,Clear,,,"36.138802,33.267837",2021-06-25,yenikas
175.22,25.8,28.6,16.8,12.6,2021-06-24,,32,14.2,22.7,1624492800000,0,,,,1009.9,,20.6,73.38,0,20.5,Clear,,,"36.138802,33.267837",2021-06-24,yenikas
194,25.5,29.8,16.8,19.9,2021-06-23,,31,11,21.6,1624406400000,0.9,,,,1011.3,,19.2,69.02,4.17,18.4,Rain,,,"36.138802,33.267837",2021-06-23,yenikas
191.83,24.5,27.8,16.8,18.8,2021-06-22,,29.3,11.7,20.6,1624320000000,0,,,,1011.2,,19.3,73.22,0,22.3,Clear,,,"36.138802,33.267837",2021-06-22,yenikas
195.88,24.3,26.7,16.8,13.6,2021-06-21,,28.3,26.4,21.1,1624233600000,4,,Rain Showers,,1010.2,,19.1,73.12,4.17,20.5,"Rain, Partially cloudy",,,"36.138802,33.267837",2021-06-21,yenikas
180.42,24.3,27.9,16.8,20.4,2021-06-20,,30.2,11.5,20.6,1624147200000,0,,,,1008.9,,19.1,73.14,0,18.4,Clear,,,"36.138802,33.267837",2021-06-20,yenikas
194.63,24.7,28.5,16.8,27.7,2021-06-19,,30,14.2,21,1624060800000,0,,,,1009.2,,18.1,67.09,0,18.4,Clear,,,"36.138802,33.267837",2021-06-19,yenikas
209,24.5,29.4,16.9,25.1,2021-06-18,,29.3,12.5,19.8,1623974400000,0,,,,1012.1,,16,59.98,0,18.4,Clear,,,"36.138802,33.267837",2021-06-18,yenikas
259.21,23.8,27.8,16.8,24.2,2021-06-17,,27.9,4.8,19.1,1623888000000,0,,,,1013.7,,14.6,56.86,0,24.1,Clear,,,"36.138802,33.267837",2021-06-17,yenikas
237.5,23.2,27,16.8,13.9,2021-06-16,,27.1,18.3,19,1623801600000,0,,,,1010.1,,13.8,56.44,0,31.7,Clear,,,"36.138802,33.267837",2021-06-16,yenikas
271.17,23.9,27.2,16.7,12.7,2021-06-15,,27.9,19.3,19.7,1623715200000,0,,,,1009.5,,16,61.31,0,37.1,Clear,,,"36.138802,33.267837",2021-06-15,yenikas
259.67,23.8,27.6,16.8,17.3,2021-06-14,,28.1,9.5,19.9,1623628800000,0,,,,1008.6,,16.3,63.24,0,24.1,Clear,,,"36.138802,33.267837",2021-06-14,yenikas
202.04,23.6,25.9,16.9,12.2,2021-06-13,,,7.6,20.2,1623542400000,0,,,,1010.6,,17.6,69.07,0,20.5,Clear,,,"36.138802,33.267837",2021-06-13,yenikas
220.25,23.9,27.8,16.8,12.5,2021-06-12,,28.9,7.1,19,1623456000000,0,,,,1010.9,,16.2,62.51,0,24.1,Clear,,,"36.138802,33.267837",2021-06-12,yenikas
238.25,24.1,27.4,16.8,10.5,2021-06-11,,28.6,18.8,19.8,1623369600000,1,,Sky Coverage Increasing,,1009.8,,16.6,63.16,4.17,25.9,Rain,,,"36.138802,33.267837",2021-06-11,yenikas
185.71,23.9,27.3,16.8,24,2021-06-10,,28.6,31.7,20.4,1623283200000,0,,,,1008.1,,15.9,61.01,0,24.1,Partially cloudy,,,"36.138802,33.267837",2021-06-10,yenikas
171.88,24.7,28.3,16.8,16.2,2021-06-09,,28.4,11,20.4,1623196800000,0,,,,1009.7,,16.2,60.08,0,18.4,Clear,,,"36.138802,33.267837",2021-06-09,yenikas
166.75,23.6,26.9,16.9,20.1,2021-06-08,,27.8,2,19.3,1623110400000,0,,,,1011.8,,16,62.59,0,14.8,Clear,,,"36.138802,33.267837",2021-06-08,yenikas
197.5,24.1,28.9,16.8,24.8,2021-06-07,,28.3,13.6,19.1,1623024000000,0,,,,1013.3,,12.5,48.77,0,18.4,Clear,,,"36.138802,33.267837",2021-06-07,yenikas
215.78,24,27.8,16.8,17,2021-06-06,,27.5,0.4,19.2,1622937600000,0,,,,1012.4,,12,47.57,0,38.9,Clear,,,"36.138802,33.267837",2021-06-06,yenikas
178.87,23.5,28.1,16.8,23.2,2021-06-05,,27.7,8.3,19.4,1622851200000,0,,,,1012.4,,13.4,53.78,0,40.7,Clear,,,"36.138802,33.267837",2021-06-05,yenikas
163.67,23.1,27.9,16.8,17.9,2021-06-04,,27.4,12,18.6,1622764800000,0,,,,1014.4,,13.9,56.9,0,25.9,Clear,,,"36.138802,33.267837",2021-06-04,yenikas
161.87,22.2,24.8,16.8,20.4,2021-06-03,,,15.1,18.6,1622678400000,0,,,,1014.5,,14.3,61.18,0,24.1,Clear,,,"36.138802,33.267837",2021-06-03,yenikas
204,23.1,26.5,16.8,27.6,2021-06-02,,,7.8,19.2,1622592000000,0,,,,1011.5,,14.2,57.58,0,31.7,Clear,,,"36.138802,33.267837",2021-06-02,yenikas
225.87,23.9,27.6,16.8,28.4,2021-06-01,,27.8,15.2,19.5,1622505600000,0,,,,1008.4,,14.4,55.77,0,38.9,Clear,,,"36.138802,33.267837",2021-06-01,yenikas
177.04,23.8,27,16.8,22.8,2021-05-31,,28.2,23.4,20.9,1622419200000,0,,,,1009.6,,17.8,69.31,0,16.6,Clear,,,"36.138802,33.267837",2021-05-31,yenikas
161.63,23.4,25.9,16.9,15.6,2021-05-30,,,19.9,20.1,1622332800000,0,,,,1012.8,,17.6,70.07,0,20.5,Clear,,,"36.138802,33.267837",2021-05-30,yenikas
163.17,23.2,26.7,16.8,25.2,2021-05-29,,27.7,14.3,19.3,1622246400000,0,,,,1009,,17.1,68.91,0,22.3,Clear,,,"36.138802,33.267837",2021-05-29,yenikas
204.45,23,26.1,16.5,23.2,2021-05-28,,,23.7,19.7,1622160000000,0,,,,1008.8,,17.8,73.15,0,16.6,Clear,,,"36.138802,33.267837",2021-05-28,yenikas
